
; <<>> DiG 9.8.4-rpz2+rl005.12-P1 <<>> +time=1 axfr bjut.edu.cn @dragon2.bjut.edu.cn.
;; global options: +cmd
towson.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
tpeet.bjut.edu.cn.	3600	IN	CNAME	dept.bjut.edu.cn.
translab.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
trc.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
trcdata.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
trcmap.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
trcmeeting.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
tytc.bjut.edu.cn.	3600	IN	CNAME	ysbm.bjut.edu.cn.
tytx.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
tytxzf.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
udc.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
udc2007.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
uecu.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
uia.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
undergrad.bjut.edu.cn.	3600	IN	CNAME	tl5.bjut.edu.cn.
video.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
vod.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
vpn.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
we.bjut.edu.cn.		3600	IN	CNAME	windowsembedded.bjut.edu.cn.
web.bjut.edu.cn.	3600	IN	A	219.239.98.99
web.bjut.edu.cn.	3600	IN	A	211.71.95.99
*.web.bjut.edu.cn.	3600	IN	A	219.239.98.99
*.web.bjut.edu.cn.	3600	IN	A	211.71.95.99
web104.bjut.edu.cn.	3600	IN	CNAME	www104.bjut.edu.cn.
webrecdoc.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
webwin.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
weld.bjut.edu.cn.	3600	IN	CNAME	dept.bjut.edu.cn.
wici.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
windowsembedded.bjut.edu.cn. 3600 IN	NS	linkproof.bjut.edu.cn.
wlc.bjut.edu.cn.	3600	IN	CNAME	dept.bjut.edu.cn.
wlsyzx.bjut.edu.cn.	3600	IN	NS	linkproof.bjut.edu.cn.
